estimator,MaximumSequenceProbability,MeanTokenEntropy,Pooled_log_likelihood_max,Pooled_log_likelihood_max_noterm,Pooled_log_likelihood_mean,Pooled_log_likelihood_mean_noterm,Pooled_log_likelihood_min,Pooled_log_likelihood_min_noterm,SelfCertainty,SpilledEnergy_logit_max,SpilledEnergy_logit_max_noterm,SpilledEnergy_logit_mean,SpilledEnergy_logit_mean_noterm,SpilledEnergy_logit_min,SpilledEnergy_logit_min_noterm,SpilledEnergy_marginal_max,SpilledEnergy_marginal_max_noterm,SpilledEnergy_marginal_mean,SpilledEnergy_marginal_mean_noterm,SpilledEnergy_marginal_min,SpilledEnergy_marginal_min_noterm,SpilledEnergy_scaled_spilled_max,SpilledEnergy_scaled_spilled_max_noterm,SpilledEnergy_scaled_spilled_mean,SpilledEnergy_scaled_spilled_mean_noterm,SpilledEnergy_scaled_spilled_min,SpilledEnergy_scaled_spilled_min_noterm,SpilledEnergy_spilled_max,SpilledEnergy_spilled_max_noterm,SpilledEnergy_spilled_mean,SpilledEnergy_spilled_mean_noterm,SpilledEnergy_spilled_min,SpilledEnergy_spilled_min_noterm
MaximumSequenceProbability,1.0000,0.1239,0.9624,0.1271,0.7995,0.2516,0.3417,0.3396,0.1195,0.9364,0.0694,0.6323,0.2396,0.3275,0.3230,0.0615,0.0601,0.0485,0.2387,-0.0270,0.3222,0.9049,-0.1631,0.8085,0.1737,0.3185,0.3159,0.7801,-0.1046,0.8122,0.1770,0.3088,0.3060
MeanTokenEntropy,0.1239,1.0000,-0.0268,0.9151,-0.0385,0.9366,0.5170,0.5079,0.9005,0.0773,0.9187,0.6252,0.8787,0.6503,0.6192,0.8973,0.8967,0.9091,0.8593,0.6581,0.6158,-0.0459,-0.1265,0.0433,0.5491,0.3119,0.3089,0.0956,0.0760,0.1469,0.5675,0.2472,0.2442
Pooled_log_likelihood_max,0.9624,-0.0268,1.0000,-0.0122,0.8213,0.1054,0.2640,0.2645,-0.0025,0.9182,-0.0709,0.5338,0.1099,0.2334,0.2386,-0.0766,-0.0779,-0.0768,0.1124,-0.1032,0.2403,0.9097,-0.1448,0.8041,0.0889,0.2781,0.2767,0.7633,-0.1118,0.7860,0.0874,0.2748,0.2731
Pooled_log_likelihood_max_noterm,0.1271,0.9151,-0.0122,1.0000,-0.0591,0.9330,0.3170,0.3138,0.7860,0.0482,0.9012,0.5083,0.7710,0.4920,0.4660,0.8517,0.8525,0.7936,0.7404,0.4923,0.4641,-0.0545,0.0167,0.0201,0.5436,0.2110,0.2075,0.0826,0.1978,0.1363,0.6165,0.1543,0.1510
Pooled_log_likelihood_mean,0.7995,-0.0385,0.8213,-0.0591,1.0000,0.1429,0.3942,0.4278,0.0091,0.8089,-0.1318,0.6118,0.1590,0.3293,0.3738,-0.1418,-0.1429,-0.1006,0.1613,-0.0334,0.3710,0.7699,-0.2973,0.9321,0.2141,0.4670,0.4697,0.6398,-0.2676,0.9027,0.2035,0.4690,0.4718
Pooled_log_likelihood_mean_noterm,0.2516,0.9366,0.1054,0.9330,0.1429,1.0000,0.5095,0.5282,0.8292,0.1809,0.8582,0.6765,0.8538,0.6328,0.6245,0.8160,0.8165,0.8045,0.8254,0.5476,0.6174,0.0722,-0.1049,0.2264,0.6239,0.3755,0.3741,0.1755,0.0801,0.3325,0.6716,0.3199,0.3186
Pooled_log_likelihood_min,0.3417,0.5170,0.2640,0.3170,0.3942,0.5095,1.0000,0.9736,0.6454,0.3642,0.3716,0.7588,0.6766,0.8161,0.8143,0.3886,0.3876,0.5905,0.6876,0.6505,0.8065,0.2444,-0.6084,0.4668,0.4219,0.6563,0.6551,0.2153,-0.4624,0.4684,0.2809,0.6061,0.6046
Pooled_log_likelihood_min_noterm,0.3396,0.5079,0.2645,0.3138,0.4278,0.5282,0.9736,1.0000,0.6333,0.3670,0.3618,0.7691,0.6877,0.8086,0.8345,0.3753,0.3745,0.5694,0.6959,0.6270,0.8245,0.2495,-0.5873,0.4965,0.4559,0.6829,0.6852,0.2122,-0.4411,0.4934,0.3186,0.6351,0.6374
SelfCertainty,0.1195,0.9005,-0.0025,0.7860,0.0091,0.8292,0.6454,0.6333,1.0000,0.1201,0.8723,0.7380,0.9606,0.8164,0.7943,0.8763,0.8753,0.9822,0.9580,0.8138,0.7941,-0.0238,-0.3433,0.1043,0.5670,0.4765,0.4755,0.0906,-0.1233,0.1696,0.4904,0.3992,0.3982
SpilledEnergy_logit_max,0.9364,0.0773,0.9182,0.0482,0.8089,0.1809,0.3642,0.3670,0.1201,1.0000,0.0352,0.6427,0.2181,0.3238,0.3355,0.0383,0.0347,0.0482,0.2237,0.0825,0.3354,0.9418,-0.1839,0.7986,0.1521,0.3303,0.3333,0.8526,-0.1260,0.8060,0.1539,0.3204,0.3232
